DATESTAMP,influent bod (mg/L),influent flow (mgd),max influent flow (mgd),influent tss (mg/L),influent salinity (mg/L),influent sulfide (mg/L),rainfall (inches)
7/27/2021,110,,,224,,,0.56
7/28/2021,,,,,,0,0
7/29/2021,,1.37,1.89,,,,0.1
7/30/2021,,1.36,2.06,,,0,0
7/31/2021,,1.23,1.85,,,,0
8/1/2021,,1.2,2.3,,,,0
8/2/2021,,1.07,2.21,,,,0
8/3/2021,230,0.97,1.54,268,,,0
8/4/2021,,1.47,3.41,,5.1,0.8,2.73
8/5/2021,,3.94,7.23,,,,0.44
8/6/2021,,3.19,4.52,,,0,0
8/7/2021,,2.19,2.88,,,,0
8/8/2021,,1.89,2.62,,,,0
8/9/2021,,1.88,2.85,,,,0.52
8/10/2021,99,1.92,2.41,159,,,0
8/11/2021,,1.73,2.49,,5,0,0
8/12/2021,,1.61,2.1,,,,0.1
8/13/2021,,1.51,2.11,,,,0
8/14/2021,,1.46,2.09,,,,0
8/15/2021,,1.37,2.37,,,,0
8/16/2021,,1.24,1.98,,,,0
8/17/2021,190,1.17,1.91,234,,,0
8/18/2021,,1.1,1.79,,,0,0
8/19/2021,,1.65,3.44,,,,0.5
8/20/2021,,2.46,3.23,,,,0
8/21/2021,,2.54,3.48,,,,0
8/22/2021,,2.97,4.5,,,,0.42
8/23/2021,,2.95,3.8,,,,0.59
8/24/2021,66,,,341,,,0
8/25/2021,,,,,,0,0
8/26/2021,,,,,,,0
8/27/2021,,,,,,,0
8/28/2021,,,,,,,0.03
8/29/2021,,,,,,,0
8/30/2021,,,,,,,0
8/31/2021,370,,,475,,,0
9/1/2021,,,,,3.2,1,4
9/2/2021,,,,,,,0
9/3/2021,,,,,,,0
9/4/2021,,,,,,,0
9/5/2021,,,,,,,0.12
9/6/2021,,,,,,,0
9/7/2021,99,,,194,,,0
9/8/2021,,,,,,,0.04
9/9/2021,,,,,,,0.65
9/10/2021,,,,,,0,0
9/11/2021,,1.5,2.3,,,,0
9/12/2021,,1.88,2.75,,,,0.12
9/13/2021,,1.78,2.35,,,,0.01
9/14/2021,470,1.71,2.56,674,,,0
9/15/2021,,1.54,2.44,,,0,0.3
9/16/2021,,0.89,2.1,,,,0.06
9/17/2021,,1.33,2.13,,,0,0
9/18/2021,,1.49,2.24,,,,0.17
9/19/2021,,1.69,2.85,,,,0
9/20/2021,,1.55,2.27,,,,0
9/21/2021,260,1.72,1.72,376,,,0
9/22/2021,,1.27,2.7,,,,0
9/23/2021,,1.12,2.7,,,,0
9/24/2021,,1.26,2.27,,,,0.02
9/25/2021,,1.59,2.82,,,,0
9/26/2021,,2.5,4.02,,,,0
9/27/2021,,2.1,2.67,,,,0
9/28/2021,110,2.05,2.77,125,,,0.32
9/29/2021,,1.93,2.29,,2.3,0,0
9/30/2021,,1.28,1.8,,,,0
10/1/2021,,1.59,2.2,,,,0
10/2/2021,,1.42,2.13,,,,0
10/3/2021,,1.13,2.18,,,,0.42
10/4/2021,,2,3.46,,,,1.18
10/5/2021,190,2.44,3.28,329,,,0
10/6/2021,,1.98,2.67,,,0,0
10/7/2021,,1.81,2.5,,,,0
10/8/2021,,1.76,2.58,,,,0
10/9/2021,,1.75,2.85,,,,0
10/10/2021,,1.56,2.51,,,,0
10/11/2021,,1.5,2.4,,,,0
10/12/2021,280,1.34,2.12,764,,,0
10/13/2021,,1.26,2.39,,,0,0
10/14/2021,,1.23,1.99,,,,0
10/15/2021,,1.16,1.78,,,,0
10/16/2021,,1.22,1.99,,,,0.96
10/17/2021,,1.64,2.59,,,,0
10/18/2021,,1.42,2.14,,,,0
10/19/2021,340,1.29,1.89,428,,,0
10/20/2021,,1.18,1.81,,3.5,3,0
10/21/2021,,1.18,2.43,,,,0
10/22/2021,,1.12,1.8,,,,0
10/23/2021,,1.1,2.2,,,,0
10/24/2021,,1.03,1.61,,,,0.36
10/25/2021,,1.19,2.1,,,,0.8
10/26/2021,130,2.63,6.17,205,,,2
10/27/2021,,4.36,6.15,,,,0.3
10/28/2021,,2.98,3.99,,,,0
10/29/2021,,2.17,2.92,,,,0.04
10/30/2021,,2.41,3.68,,,,1.72
10/31/2021,,3.31,4.46,,,,0
11/1/2021,,3.1,4.18,,,,0
11/2/2021,210,2.32,3.06,319,,,0
11/3/2021,,2.07,2.83,,2,0,0
11/4/2021,,1.39,2.42,,,,0
11/5/2021,,1.89,2.89,,,,0
11/6/2021,,1.78,2.89,,,,0
11/7/2021,,1.78,2.89,,,,0
11/8/2021,,1.67,2.59,,,,0
11/9/2021,210,1.48,2.15,418,,,0
11/10/2021,,1.44,2.15,,5.9,1,0
11/11/2021,,2.01,2.35,,,,0
11/12/2021,,1.68,2.66,,,,0.8
11/13/2021,,1.7,2.5,,,,0.31
11/14/2021,,2.13,2.71,,,,0.06
11/15/2021,,1.46,2.27,,,,0
11/16/2021,120,1.25,1.84,425,,,0
11/17/2021,,1.2,1.74,,2.2,0.4,0
11/18/2021,,1.28,1.85,,,,0.45
11/19/2021,,1.21,1.78,,,,0.28
11/20/2021,,1.19,1.86,,,,0
11/21/2021,,1.93,2.41,,,,0.26
11/22/2021,,1.28,1.93,,,,0.3
11/23/2021,70,1.24,1.77,,,,0
11/24/2021,,1.18,1.65,,3.7,6,0
11/25/2021,,1.18,2.49,,,,0
11/26/2021,,1.16,1.86,,,,0.27
11/27/2021,,1.1,2.1,,,,0
11/28/2021,,1.03,1.62,,,,0
11/29/2021,,1.02,1.51,,,,0
